Leave_Eng	Leave this place~
Leave_Ger	Ort verlassen~
Accept_Eng	Accept~
Accept_Ger	Akzeptieren~
Decline_Eng	Decline~
Decline_Ger	Ablehnen~

PubAction0_Eng	Try to find new crew members.~
PubAction0_Ger	Versuche ein paar Mitglieder für die Gang zu finden.~
PubEntry_Eng	"You entered a bedraggled pub - whereby you are not sure what is worse: The drinks or the guests...

What do you want to do?"~
PubEntry_Ger	"Du betritts eine herunter gekommen Bar - du überlegst noch was schlimmer ist: Die Getränke oder die Gäste...

Was willst du tun?"~

HireGangMembers_Eng	Find Prospects~
HireGangMembers_Ger	Anwärter suchen~
HireGangMembersNewMemberPart1Fail_Eng	At the moment, nobody is in the Bar who want's to talk to you - come back later.~
HireGangMembersNewMemberPart1_Eng	A thug is coming to your table and wants to join your gang.~
HireGangMembersNewMemberPart2_Eng	The following characteristic are obvious for you:~
HireGangMembersNewMemberPart1Fail_Ger	Momentan ist kein Gangster in der Bar, der sich dir anschließen will - komm später wieder.~
HireGangMembersNewMemberPart1_Ger	Ein Gangster kommt zu dir an den Tisch um sich dir vorzustellen.~
HireGangMembersNewMemberPart2_Ger	Folgende Charakterzüge sind dir aufgefallen:~

GangMemberIntelligence_Eng	Intelligence~
GangMemberIntelligence_Ger	Intelligenz~
GangMemberStreeName_Eng	Street Name~
GangMemberStreeName_Ger	Straßenname~
GangMemberStrength_Eng	Strength~
GangMemberStrength_Ger	Stärke~
GangMemberLevel_Eng	Level~
GangMemberLevel_Ger	Level~

UseCar_Eng	Use Car~
UseCar_Ger	Benutze Auto~
UseCarAction0_Eng	Drive with the car.~
UseCarAction0_Ger	Fahre mit dem Auto.~
